Redshift,AppMag,DAppMag
 0.2919, 21.1344, 0.1728
 0.2949, 21.4306, 0.1764
 0.2366, 20.5837, 0.1127
 0.2442, 20.5177, 0.1202
 0.1504, 19.5630, 0.0442
 0.2784, 20.8202, 0.1570
 0.2495, 20.5263, 0.1256
 0.1942, 20.1447, 0.0751
 0.2663, 20.9829, 0.1435
 0.1950, 20.0856, 0.0757
 0.2908, 21.3059, 0.1714
 0.2929, 21.3975, 0.1739
 0.2190, 20.5050, 0.0962
 0.3109, 21.5240, 0.1961
 0.1430, 19.4332, 0.0398
 0.2068, 20.1550, 0.0855
 0.1739, 19.8077, 0.0598
 0.2791, 21.0902, 0.1578
 0.2929, 20.9721, 0.1739
 0.2998, 21.0746, 0.1823
 0.3028, 21.0897, 0.1860
 0.2352, 20.6182, 0.1114
 0.2739, 20.7406, 0.1519
 0.2534, 20.7393, 0.1296
 0.2832, 21.1693, 0.1625
 0.2757, 21.0126, 0.1540
 0.2781, 20.7944, 0.1567
 0.3016, 21.1631, 0.1845
 0.1612, 19.7280, 0.0511
 0.2162, 20.4375, 0.0936
 0.0514, 17.1309, 0.0048
 0.0812, 18.1585, 0.0124
 0.1783, 20.0455, 0.0629
 0.2795, 21.2390, 0.1582
 0.2524, 20.7321, 0.1286
 0.2961, 21.3952, 0.1778
 0.2959, 21.0059, 0.1776
 0.2247, 20.5387, 0.1014
 0.1330, 19.2308, 0.0343
 0.2250, 20.4437, 0.1017
 0.2977, 21.1546, 0.1797
 0.3043, 21.2343, 0.1878
 0.2087, 20.1867, 0.0871
 0.1619, 19.6611, 0.0515
 0.2533, 20.5581, 0.1296
 0.1931, 20.0605, 0.0742
 0.1990, 20.1928, 0.0789
 0.2781, 21.3217, 0.1567
 0.2282, 20.5071, 0.1047
 0.2667, 20.7537, 0.1439
 0.2019, 20.1789, 0.0813
 0.2675, 20.9986, 0.1448
 0.2977, 21.0243, 0.1798
 0.2890, 20.9921, 0.1693
 0.1979, 20.1705, 0.0781
 0.2739, 20.8014, 0.1520
 0.2008, 20.1201, 0.0804
 0.2905, 21.0494, 0.1711
 0.1981, 20.1824, 0.0782
 0.2668, 20.9320, 0.1440
 0.0970, 18.5251, 0.0178
 0.2094, 20.3048, 0.0877
 0.2152, 20.5230, 0.0928
 0.1564, 19.6078, 0.0480
 0.2869, 21.1119, 0.1669
 0.2625, 20.7522, 0.1393
 0.1549, 19.6291, 0.0470
 0.3013, 21.0453, 0.1841
 0.2945, 20.9870, 0.1759
 0.2797, 21.0337, 0.1585
 0.1355, 19.2836, 0.0356
 0.2592, 20.7217, 0.1358
 0.2826, 21.3078, 0.1618
 0.1658, 19.7568, 0.0541
 0.2857, 20.7813, 0.1654
 0.2074, 20.3108, 0.0860
 0.1456, 19.5693, 0.0414
 0.2233, 20.4545, 0.1001
 0.3060, 21.1693, 0.1899
 0.2853, 21.1586, 0.1650
 0.1816, 19.9368, 0.0654
 0.3051, 21.0055, 0.1888
 0.2046, 20.2569, 0.0836
 0.3055, 21.1159, 0.1893
 0.2321, 20.4674, 0.1083
 0.2263, 20.4814, 0.1029
 0.2124, 20.3507, 0.0903
 0.2933, 21.1934, 0.1745
 0.1676, 19.8603, 0.0553
 0.1129, 18.8604, 0.0244
 0.2742, 21.0100, 0.1522
 0.0721, 17.8784, 0.0097
 0.2266, 20.4815, 0.1032
 0.1495, 19.5838, 0.0437
 0.2653, 20.5336, 0.1424
 0.1718, 19.9382, 0.0583
 0.2281, 20.5853, 0.1046
 0.2905, 21.1867, 0.1711
 0.2792, 20.8542, 0.1580
 0.3002, 21.1926, 0.1828
 0.0996, 18.6187, 0.0188
 0.1977, 20.0992, 0.0779
 0.3103, 21.0283, 0.1953
 0.1622, 19.6772, 0.0517
 0.2460, 20.6627, 0.1221
 0.1264, 19.0836, 0.0309
 0.0672, 17.7153, 0.0084
 0.2732, 21.0851, 0.1511
 0.2976, 21.0534, 0.1796
 0.1844, 20.0686, 0.0675
 0.2348, 20.5200, 0.1110
 0.2129, 20.4798, 0.0907
 0.2872, 21.3464, 0.1672
 0.3088, 21.3155, 0.1934
 0.2954, 21.0887, 0.1769
 0.1433, 19.4531, 0.0400
 0.3005, 21.5069, 0.1831
 0.2684, 20.9122, 0.1457
 0.2336, 20.6299, 0.1098
 0.1888, 20.2221, 0.0708
 0.3063, 21.3501, 0.1903
 0.3091, 21.4505, 0.1938
 0.2534, 20.7189, 0.1297
 0.2863, 21.1574, 0.1661
 0.1059, 18.7287, 0.0214
 0.1473, 19.4884, 0.0423
 0.1657, 19.8157, 0.0541
 0.1082, 18.7554, 0.0224
 0.2750, 20.8508, 0.1531
 0.2442, 20.6322, 0.1202
 0.2929, 21.1898, 0.1739
 0.1275, 19.1763, 0.0314
 0.2586, 20.8099, 0.1352
 0.2232, 20.5335, 0.1000
 0.2804, 21.0568, 0.1593
 0.1796, 19.8382, 0.0639
 0.1885, 20.2176, 0.0706
 0.2580, 20.6959, 0.1345
 0.1480, 19.5171, 0.0428
 0.3092, 20.9661, 0.1939
 0.3093, 21.3420, 0.1941
 0.3112, 20.9627, 0.1964
 0.2498, 20.5059, 0.1259
 0.2095, 20.1966, 0.0878
 0.2523, 20.7657, 0.1286
 0.2911, 21.3465, 0.1718
 0.1478, 19.4990, 0.0426
 0.2627, 20.9507, 0.1396
 0.2987, 21.0808, 0.1810
 0.0774, 18.0255, 0.0112
 0.2115, 20.3455, 0.0895
 0.2877, 21.2361, 0.1678
 0.2538, 20.7069, 0.1301
 0.2866, 21.0543, 0.1665
 0.2294, 20.7201, 0.1058
 0.2925, 21.0774, 0.1735
 0.2590, 20.8352, 0.1355
 0.2215, 20.4757, 0.0984
 0.1573, 19.6375, 0.0486
 0.2755, 20.9315, 0.1537
 0.2451, 20.7997, 0.1211
 0.2740, 20.7452, 0.1520
 0.2269, 20.4451, 0.1034
 0.2512, 20.8323, 0.1274
 0.1361, 19.2869, 0.0360
 0.2956, 20.9677, 0.1772
 0.2887, 21.3692, 0.1690
 0.1884, 19.9853, 0.0705
 0.1837, 20.1071, 0.0669
 0.2528, 20.6845, 0.1291
 0.1551, 19.5459, 0.0471
 0.2728, 20.9873, 0.1507
 0.3014, 21.0253, 0.1843
 0.2952, 21.1009, 0.1767
 0.3071, 21.5083, 0.1913
